accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,dst,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,ratio,variant,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack,split
0.9985740181680648,0.959818344251463,0.9999897621928018,0.9985840569239787,0.9992864152040452,0.26727980912016375,0.9997791876724977,0.9999999652513677,70,6,831,586057,0.07894736842105263,0.0014159430760213193,XGBoost,42,bot,7.3,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9542156543370747,0.9089342982302946,0.9476252079098133,0.9949935964605892,0.9707318920146909,0.8713862689598563,0.9874409855629294,0.9950335279973972,6583,1417,129,25638,0.177125,0.005006403539410874,MLP(16),42,ton,2.4,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9959333110718885,0.9453416288878573,0.9999863134861775,0.9959464156704516,0.9979622760701892,0.15728675114708496,0.9909376706144596,0.9999984900514232,68,8,2379,584509,0.10526315789473684,0.004053584329548398,MLP(16),42,bot,5.2,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9338407320756952,0.9397997026235108,0.983919391322229,0.9284744052470214,0.9553931552254303,0.8330342464387962,0.9791543204486358,0.9883062211727003,7609,391,1843,23924,0.048875,0.07152559475297862,"KAN(cat,1L)",42,ton,2.6,31212,33767,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9939110405408168,0.9640646489350788,0.9999914284342836,0.9939187715543681,0.9969458525463762,0.13452013008737668,0.9973963807494158,0.9999996560503601,71,5,3569,583319,0.06578947368421052,0.006081228445631875,"KAN(cat,1L)",42,bot,12.4,31212,586964,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.986466076346729,0.9757039381767377,0.9862445247060632,0.9961578763534754,0.9911764138010928,0.9623685418515541,0.9930040191912136,0.995240006944339,7642,358,99,25668,0.04475,0.0038421236465246244,"KAN(cat,ML)",42,ton,50.5,31212,33767,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9968090036186206,0.9852481043634973,0.9999965813076156,0.9968119982006788,0.9984017503095383,0.19214693696025753,0.9944210416907306,0.9999990714850551,74,2,1871,585017,0.02631578947368421,0.003188001799321165,"KAN(cat,ML)",42,bot,57.1,31212,586964,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9755678621138982,0.9588234757635736,0.97763309076982,0.9906469515271471,0.9840969986699308,0.9317937411373503,0.9784115923468002,0.9879918140222598,7416,584,241,25526,0.073,0.009353048472852874,DecisionTree(d=5),42,ton,0.4,31212,33767,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9965142666330473,0.9719445259527686,0.9999931606394802,0.9965206308529055,0.998253875866448,0.1792794953876134,0.9897615518320002,0.9999973896359126,72,4,2042,584846,0.05263157894736842,0.0034793691470945054,DecisionTree(d=5),42,bot,3.1,31212,586964,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9844818906032516,0.9684135740482012,0.9810572855128254,0.9989521480964024,0.9899238520113838,0.9569336224303674,0.9919316106842087,0.9962161558367062,7503,497,27,25740,0.062125,0.001047851903597625,LightGBM,42,ton,6.5,31212,33767,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9968209293926032,0.9852540680226622,0.9999965813485212,0.9968239255190088,0.9984077329906461,0.19249485285843518,0.999794130450067,0.999999967192151,74,2,1864,585024,0.02631578947368421,0.0031760744809912625,LightGBM,42,bot,30.3,31212,586964,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
0.9820830988835253,0.9631786927077269,0.9778925776798603,0.9991073854154539,0.9883861555295337,0.9502708335559106,0.9924466298948268,0.9964136534780451,7418,582,23,25744,0.07275,0.0008926145845461248,XGBoost,42,ton,2.7,31212,33767,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,flow_rate,pkt_asymmetry,duration,pkts_total,bytes_dst",0.0,0.0,50.0,cat,306,15300,15606,31212,32000,306,103067,2347547,validation
