accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.23429108507458862,0.39699859480781285,0.9997556562665441,0.23424876194266972,0.3795635109078098,-0.005545730945282613,0.3986384237785651,0.999778057956388,267,210,2808810,859235,0.44025157232704404,0.7657512380573303,LightGBM,42,35.0,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.25896069316198733,0.39046953198922285,0.9997599954525455,0.25892648536209345,0.41132457649121584,-0.005701851523407034,0.44210661085025577,0.9997891338007047,249,228,2718291,949754,0.4779874213836478,0.7410735146379066,XGBoost,42,15.6,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.720133339802787,0.6682495184850368,0.9999307267932864,0.7201468357122118,0.8372842766260962,0.00854619547201847,0.6637964217184648,0.9999034939218882,294,183,1026514,2641531,0.3836477987421384,0.27985316428778817,MLP(16),42,18.3,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.2591820357081135,0.4503208755206265,0.9998201287499474,0.2591323170789889,0.4115893455444955,-0.002585539425771668,0.5478496246692491,0.9998950759797132,306,171,2717536,950509,0.3584905660377358,0.740867682921011,"KAN(cat,1L)",43,27.0,211043,3668522,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.23542505673947164,0.42062345214524605,0.9997822967920043,0.2353768833261315,0.38104504230950353,-0.004266667462926858,0.33394674511333566,0.9998852340946909,289,188,2804672,863373,0.3941299790356394,0.7646231166738685,DecisionTree(d=5),43,2.1,211043,3668522,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.23839818869833682,0.4032447405355425,0.9997644378985117,0.23835530916332814,0.38493717954390805,-0.00517828077149853,0.43744011574288344,0.9997901835329186,271,206,2793747,874298,0.43186582809224316,0.7616446908366719,LightGBM,43,34.3,211043,3668522,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.26223149268288426,0.41097061532555457,0.9997816923004954,0.2621928029781532,0.4154371823697243,-0.0046158806412223375,0.43581382027824517,0.9997945619789752,267,210,2706310,961735,0.44025157232704404,0.7378071970218468,XGBoost,43,15.7,211043,3668522,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.7993701550651734,0.7120654050420092,0.9999389576004267,0.7993928645913558,0.8884898914965125,0.012075001231000389,0.6703063893709046,0.9999087271628571,298,179,735836,2932209,0.3752620545073375,0.2006071354086441,MLP(16),43,12.4,211043,3668522,"bytes_total,bytes_src,byte_asymmetry,payload_mean_src,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.23623110342530315,0.4849595126323769,0.9998534157590755,0.23616640471968037,0.38208414223495246,-0.0008075443310468545,0.5571256825975364,0.9998969382494797,350,127,2801776,866269,0.2662473794549266,0.7638335952803196,"KAN(cat,1L)",44,26.9,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.2353819876233535,0.42060191478678943,0.9997822569530104,0.23533380860921826,0.3809885934915285,-0.004268095419000748,0.33394114630317084,0.9998852308522947,289,188,2804830,863215,0.3941299790356394,0.7646661913907817,DecisionTree(d=5),44,2.3,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
