accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.9948126290539112,0.9974059751175354,1.0,0.9948119502350709,0.9973992286519447,0.1564452857315245,0.9997155401696728,0.9999999390138794,96,0,3806,729803,0.0,0.0051880497649292,DecisionTree(d=5),44,1.5,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
0.996709849326364,0.9983547093887888,1.0,0.9967094187775776,0.998351997946483,0.1952464008704068,0.9999062426306112,0.99999998209935,96,0,2414,731195,0.0,0.0032905812224222,LightGBM,44,9.0,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
0.9998705201681874,0.9738969927554506,0.9999931835904484,0.9998773188442344,0.9999352478609642,0.6902961303911987,0.99990562496507,0.999999982003722,91,5,90,733519,0.0520833333333333,0.0001226811557655,XGBoost,44,3.3,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
0.9997328626627868,0.9425822443676856,0.9999850020792572,0.9997478220687042,0.9998663980085124,0.5278727299027954,0.9992844948171756,0.9999999004155964,85,11,185,733424,0.1145833333333333,0.0002521779312958,MLP(16),44,3.6,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
0.9879174872734956,0.9939579530785472,1.0,0.9879159061570946,0.993921224833768,0.1028767810116454,0.9994769508802828,0.9999999293633688,96,0,8865,724744,0.0,0.0120840938429054,"KAN(cat,1L)",44,10.4,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
0.9965176739970424,0.9982586091501058,1.0,0.9965172183002116,0.9982555714181351,0.1899648093806465,0.999949450820078,0.9999999923635526,96,0,2555,731054,0.0,0.0034827816997883,"KAN(cat,ML)",44,48.7,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
0.9947649259579804,0.992174468677002,0.9999986297052496,0.9947656040206704,0.9973752527540712,0.1541528815320506,0.994526716547916,0.9999985819974864,95,1,3840,729769,0.0104166666666666,0.0052343959793295,DecisionTree(d=5),44,1.5,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
0.9967125752175602,0.9983560725127418,1.0,0.9967121450254836,0.9983533655651328,0.1953245019284755,0.9999551447024232,0.9999999920286082,96,0,2412,731197,0.0,0.0032878549745163,LightGBM,44,9.7,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
0.9998514389298152,0.9895104062018504,0.9999972733618356,0.9998541457370343,0.9999257044276753,0.6766445593872086,0.999960490704176,0.9999999927398612,94,2,107,733502,0.0208333333333333,0.0001458542629656,XGBoost,44,3.3,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
0.9997274108803949,0.9686177769765638,0.9999918191598004,0.9997355539531276,0.9998636701362617,0.5449803663651801,0.9991540040970964,0.99999988584194,90,6,194,733415,0.0625,0.0002644460468723,MLP(16),44,3.7,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,2,cat,50.0,0.9803921568627452,0.9998691572225896
