exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias
ton->unsw,51,intero + guadagni float  n=128,0.5167532575099796,,128.0,72.0,,
ton->unsw,51,intero + guadagni interi n=128,0.5030678866371676,,128.0,,"[159, 106, 39, -47, -330, -106, -45, 94, 208, -39, 112, 300]",766.0
unsw->ton,42,float non adattato,0.32782417844923406,,,,,
unsw->ton,42,intero non adattato,0.4000088986792348,0.8526224513487772,,,,
unsw->ton,42,intero + guadagni float  n=8,0.5620450604624176,,8.0,3.0,,
unsw->ton,42,intero + guadagni interi n=8,0.6402912929479627,,8.0,,"[-31, -75, 58, -145, -10, -79, -54, -103, -116, 41, -1295, -238]",1037.0
unsw->ton,42,intero + guadagni float  n=32,0.5641614848994215,,32.0,5.0,,
unsw->ton,42,intero + guadagni interi n=32,0.41622011619853294,,32.0,,"[136, -4, 117, 115, -88, -12, -256, -17, 176, -60, -250, -990]",93.0
unsw->ton,42,intero + guadagni float  n=128,0.7852620780601274,,128.0,24.0,,
unsw->ton,42,intero + guadagni interi n=128,0.6388575195780066,,128.0,,"[-23, -27, 22, 119, -35, -5, -129, -31, -22, 14, -1003, -691]",154.0
unsw->ton,43,float non adattato,0.2779416812900902,,,,,
unsw->ton,43,intero non adattato,0.4475623673180455,0.8478651270120308,,,,
unsw->ton,43,intero + guadagni float  n=8,0.4946071720063279,,8.0,1.0,,
unsw->ton,43,intero + guadagni interi n=8,0.4576451424952392,,8.0,,"[-10, 5, 355, -30, 87, 47, -55, -59, 139, -37, -1065, 36]",1400.0
unsw->ton,43,intero + guadagni float  n=32,0.7101374021947342,,32.0,7.0,,
unsw->ton,43,intero + guadagni interi n=32,0.7536190035366208,,32.0,,"[1, -128, 104, 122, -22, 15, -169, -105, -32, 256, -866, 595]",0.0
unsw->ton,43,intero + guadagni float  n=128,0.7704140234977103,,128.0,26.0,,
unsw->ton,43,intero + guadagni interi n=128,0.8124370593263235,,128.0,,"[-25, -57, 137, 153, 36, 48, -198, -60, -34, 170, -949, -914]",32.0
unsw->ton,44,float non adattato,0.2792441185273498,,,,,
unsw->ton,44,intero non adattato,0.39824806126314094,0.9205706893855754,,,,
unsw->ton,44,intero + guadagni float  n=8,0.6366912970825891,,8.0,3.0,,
unsw->ton,44,intero + guadagni interi n=8,0.5633478481143945,,8.0,,"[-11, -128, -18, -109, 78, -151, -64, -202, 256, 0, -521, 877]",41.0
unsw->ton,44,intero + guadagni float  n=32,0.6283813479293487,,32.0,6.0,,
unsw->ton,44,intero + guadagni interi n=32,0.6298391711288753,,32.0,,"[-7, -44, 41, 175, -143, -148, -256, -102, 256, -387, -2212, 1673]",847.0
unsw->ton,44,intero + guadagni float  n=128,0.7263513162761357,,128.0,27.0,,
unsw->ton,44,intero + guadagni interi n=128,0.7099153583695221,,128.0,,"[-68, -23, 9, 92, -18, 65, -256, -30, 166, 86, 69, 192]",0.0
unsw->ton,45,float non adattato,0.28154705116024914,,,,,
unsw->ton,45,intero non adattato,0.4547953749619667,0.8470074818875775,,,,
unsw->ton,45,intero + guadagni float  n=8,0.6795874005268898,,8.0,2.0,,
unsw->ton,45,intero + guadagni interi n=8,0.7338179283239811,,8.0,,"[-153, -45, -101, 158, 204, -38, -69, -33, 156, 12, 86, -257]",0.0
unsw->ton,45,intero + guadagni float  n=32,0.7193157423597913,,32.0,6.0,,
