exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
bot->ton,44,intero + guadagni float  n=8,0.6679331775223993,50.0,,8.0,1.0,0.6637826264549826,,,
bot->ton,44,intero + guadagni interi n=8,0.7105181960304527,50.0,,8.0,,0.7072044641317022,"[53, 67, 161, -107, -82, -220, 4, 43, 109, -34, 859, 47417]",6000.0,6000.0
bot->ton,44,intero + guadagni float  n=32,0.7259812423475724,50.0,,32.0,6.0,0.7263198985985163,,,
bot->ton,44,intero + guadagni interi n=32,0.7460759303602983,50.0,,32.0,,0.7474251059283987,"[-128, 96, 234, -94, 35, -61, 463, -512, 256, 128, 940, -662]",6000.0,6000.0
bot->ton,44,intero + guadagni float  n=128,0.8361452049980176,50.0,,128.0,20.0,0.8342850735369731,,,
bot->ton,44,intero + guadagni interi n=128,0.8373198495730183,50.0,,128.0,,0.8358415633285593,"[-3, -55, 103, 9, 56, -11, 232, -128, 128, 128, 767, -784]",5361.0,6000.0
bot->ton,45,float non adattato,0.5778067830951982,50.0,,,,,,,
bot->ton,45,intero non adattato,0.6485182648112615,50.0,0.8757741313381633,,,,,,
bot->ton,45,intero + guadagni float  n=8,0.7270188268120047,50.0,,8.0,2.0,0.7244157317656822,,,
bot->ton,45,intero + guadagni interi n=8,0.7862708916126822,50.0,,8.0,,0.7833723200397172,"[-18, -40, -14, -110, 31, -65, -72, 72, 33, -5, 2048, 211]",6000.0,6000.0
bot->ton,45,intero + guadagni float  n=32,0.7277032124957387,50.0,,32.0,2.0,0.7249492229039185,,,
bot->ton,45,intero + guadagni interi n=32,0.7858056363523936,50.0,,32.0,,0.7829281592439606,"[1, 32, 24, -103, 6, -39, 9, -86, -11, 38, 1732, -27]",6000.0,6000.0
bot->ton,45,intero + guadagni float  n=128,0.7780370299917828,50.0,,128.0,6.0,0.775574451040793,,,
bot->ton,45,intero + guadagni interi n=128,0.7888850576466475,50.0,,128.0,,0.7861013123203006,"[-9, 35, -9, -86, -4, 20, -18, -138, -10, 55, 1399, -43]",786.0,6000.0
bot->ton,46,float non adattato,0.6121975759890216,50.0,,,,,,,
bot->ton,46,intero non adattato,0.743978347149519,50.0,0.7450709097198202,,,,,,
bot->ton,46,intero + guadagni float  n=8,0.7351158667443016,50.0,,8.0,1.0,0.7349434177844014,,,
bot->ton,46,intero + guadagni interi n=8,0.784916362952774,50.0,,8.0,,0.7851261467130319,"[-23, -21, 75, -93, -17, 10, 12, -58, 29, 37, 2048, -178]",6000.0,6000.0
bot->ton,46,intero + guadagni float  n=32,0.5639473207764845,50.0,,32.0,3.0,0.5638205983826006,,,
bot->ton,46,intero + guadagni interi n=32,0.6174472851087016,50.0,,32.0,,0.6189096905964506,"[-87, 25, 42, -84, 25, -2, 168, -569, -7, 61, 1645, 692]",164.0,6000.0
bot->ton,46,intero + guadagni float  n=128,0.6157163289895036,50.0,,128.0,6.0,0.6155523660847004,,,
bot->ton,46,intero + guadagni interi n=128,0.6421365571946753,50.0,,128.0,,0.6425262157030481,"[-80, 1, 17, 83, -92, 66, 36, -180, 7, 83, 1340, 946]",201.0,6000.0
bot->ton,47,float non adattato,0.6087325486981737,50.0,,,,,,,
bot->ton,47,intero non adattato,0.7560879239706165,50.0,0.6945646147941414,,,,,,
bot->ton,47,intero + guadagni float  n=8,0.7704647060504994,50.0,,8.0,2.0,0.7694280877211652,,,
bot->ton,47,intero + guadagni interi n=8,0.7798600776167663,50.0,,8.0,,0.7794736393035022,"[-38, 215, 46, -65, -9, -8, -132, -219, 209, 93, 1766, -135]",5870.0,6000.0
bot->ton,47,intero + guadagni float  n=32,0.8398093147894645,50.0,,32.0,7.0,0.840263448354535,,,
bot->ton,47,intero + guadagni interi n=32,0.6749905035877045,50.0,,32.0,,0.6763619347966467,"[23, 173, 181, -177, 37, -200, 19, -208, 125, 63, -217, -1714]",43.0,6000.0
bot->ton,47,intero + guadagni float  n=128,0.8148001469079493,50.0,,128.0,24.0,0.8166407182934983,,,
bot->ton,47,intero + guadagni interi n=128,0.8578185023628868,50.0,,128.0,,0.8582123884774864,"[32, 92, 102, -16, 76, -47, 95, -177, 128, 48, 926, -1282]",2575.0,6000.0
bot->ton,48,float non adattato,0.5512176487646157,50.0,,,,,,,
bot->ton,48,intero non adattato,0.63778724042647,50.0,0.7349355344645404,,,,,,
bot->ton,48,intero + guadagni float  n=8,0.7346164850733063,50.0,,8.0,5.0,0.7389262127406926,,,
bot->ton,48,intero + guadagni interi n=8,0.7194311330542799,50.0,,8.0,,0.7232175298691457,"[33, -33, -83, -256, -50, -119, -317, -246, 157, 128, 746, -310]",0.0,6000.0
bot->ton,48,intero + guadagni float  n=32,0.8749201023853166,50.0,,32.0,8.0,0.8757155725809951,,,
bot->ton,48,intero + guadagni interi n=32,0.8077994563650479,50.0,,32.0,,0.8097017605337191,"[55, -174, -9, -37, 15, -134, -12, -128, 202, 81, 341, -919]",0.0,6000.0
bot->ton,48,intero + guadagni float  n=128,0.837818615970976,50.0,,128.0,34.0,0.8382400293927963,,,
bot->ton,48,intero + guadagni interi n=128,0.8552761560084603,50.0,,128.0,,0.8562435606268037,"[105, -139, -61, 52, 16, -9, -82, -46, 98, 77, 730, -633]",-3.0,6000.0
bot->ton,49,float non adattato,0.6968267652117758,50.0,,,,,,,
bot->ton,49,intero non adattato,0.7149460898641977,50.0,0.7996569419502186,,,,,,
bot->ton,49,intero + guadagni interi n=8,,50.0,,8.0,,,,,
bot->ton,49,intero + guadagni float  n=32,0.8436887615306177,50.0,,32.0,10.0,0.8438297224004803,,,
bot->ton,49,intero + guadagni interi n=32,0.8439022250890337,50.0,,32.0,,0.8444250025876168,"[166, -63, 242, 178, 57, -143, 280, -184, 128, 80, 1911, -14]",0.0,6000.0
bot->ton,49,intero + guadagni float  n=128,0.871150299797107,50.0,,128.0,28.0,0.8722519134076301,,,
bot->ton,49,intero + guadagni interi n=128,0.8588475757165348,50.0,,128.0,,0.8592349436889564,"[75, -84, 46, 125, 38, -62, -21, -273, 128, 114, 1407, -269]",48.0,6000.0
bot->ton,50,float non adattato,0.6922856045279832,50.0,,,,,,,
bot->ton,50,intero non adattato,0.733406101351813,50.0,0.7947479897461655,,,,,,
bot->ton,50,intero + guadagni interi n=8,,50.0,,8.0,,,,,
bot->ton,50,intero + guadagni float  n=32,0.8649011025151754,50.0,,32.0,10.0,0.8648148307942649,,,
bot->ton,50,intero + guadagni interi n=32,0.8575124775305971,50.0,,32.0,,0.8564432076699785,"[55, 134, 131, 130, 15, 77, -112, -512, 256, 42, 947, -315]",0.0,6000.0
bot->ton,50,intero + guadagni float  n=128,0.8595917715842554,50.0,,128.0,32.0,0.858941097680129,,,
bot->ton,50,intero + guadagni interi n=128,0.7310052244496323,50.0,,128.0,,0.7313149763210498,"[18, 40, 134, 73, 142, 126, -114, -512, 128, 75, 840, -1977]",0.0,6000.0
bot->ton,51,float non adattato,0.5764178359816944,50.0,,,,,,,
bot->ton,51,intero non adattato,0.7518403066261805,50.0,0.6606331411134224,,,,,,
bot->ton,51,intero + guadagni interi n=8,,50.0,,8.0,,,,,
bot->ton,51,intero + guadagni float  n=32,0.860675426434829,50.0,,32.0,3.0,0.857996362996543,,,
bot->ton,51,intero + guadagni interi n=32,0.818299343617045,50.0,,32.0,,0.8170222091121737,"[24, 42, 112, 104, 17, 6, 16, -415, 123, 71, 1851, -1147]",283.0,6000.0
bot->ton,51,intero + guadagni float  n=128,0.8432593747850359,50.0,,128.0,23.0,0.8417563998342728,,,
bot->ton,51,intero + guadagni interi n=128,0.8470202065395132,50.0,,128.0,,0.8447728415425545,"[59, 27, -28, -12, 37, -19, 154, -238, 128, 110, 664, -1662]",86.0,6000.0
ton->unsw,42,float non adattato,0.22506183172790337,50.0,,,,,,,
ton->unsw,42,intero non adattato,0.29607566099227345,50.0,0.9104213479875657,,,,,,
ton->unsw,42,intero + guadagni float  n=8,0.5031749608212276,50.0,,8.0,4.0,0.5021841775322742,,,
ton->unsw,42,intero + guadagni interi n=8,0.5904704919304071,50.0,,8.0,,0.5886911831249622,"[-241, 39, -190, -5, -1024, -225, -211, -137, 247, -34, 217, -1162]",1484.0,6000.0
ton->unsw,42,intero + guadagni float  n=32,0.7459290422256644,50.0,,32.0,18.0,0.7448641242529919,,,
ton->unsw,42,intero + guadagni interi n=32,0.7606440576296098,50.0,,32.0,,0.7591494480977785,"[266, 163, 131, -57, -379, -374, -256, -1, -488, -79, -95, -958]",5951.0,6000.0
ton->unsw,42,intero + guadagni float  n=128,0.5757108424501731,50.0,,128.0,77.0,0.5762221977547584,,,
ton->unsw,42,intero + guadagni interi n=128,0.5904022470145662,50.0,,128.0,,0.5905833346494861,"[0, 188, 155, -94, -512, -198, -1, 83, -46, -110, 140, -1289]",2657.0,6000.0
ton->unsw,43,float non adattato,0.21307170515643614,50.0,,,,,,,
ton->unsw,43,intero non adattato,0.29497921883505984,50.0,0.8842990922603455,,,,,,
ton->unsw,43,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->unsw,43,intero + guadagni float  n=32,0.5479773595670154,50.0,,32.0,21.0,0.5493830110171936,,,
ton->unsw,43,intero + guadagni interi n=32,0.46795735237504665,50.0,,32.0,,0.4682913002867103,"[-493, 97, -60, 327, -359, -210, 440, 129, 256, 38, 566, -1074]",5952.0,6000.0
ton->unsw,43,intero + guadagni float  n=128,0.5688145499142298,50.0,,128.0,71.0,0.5689847661440124,,,
ton->unsw,43,intero + guadagni interi n=128,0.577525493557225,50.0,,128.0,,0.5766044927836629,"[-103, 72, -12, 24, -145, -256, 53, -51, 147, -61, 372, 702]",3838.0,6000.0
ton->unsw,44,float non adattato,0.22293098384814639,50.0,,,,,,,
ton->unsw,44,intero non adattato,0.30322507871415944,50.0,0.8956351655004599,,,,,,
ton->unsw,44,intero + guadagni float  n=8,0.692044920934386,50.0,,8.0,4.0,0.6917240950617213,,,
ton->unsw,44,intero + guadagni interi n=8,0.7615354555827452,50.0,,8.0,,0.7605039180522848,"[199, -2, 14, -26, -523, -65, 36, -98, 171, -15, 391, -2208]",0.0,6000.0
ton->unsw,44,intero + guadagni float  n=32,0.7706378442877436,50.0,,32.0,21.0,0.7702971525064553,,,
ton->unsw,44,intero + guadagni interi n=32,0.7666135852538241,50.0,,32.0,,0.7661545720302514,"[382, 112, 33, -105, -954, -90, -64, -14, 255, 54, -229, -8192]",0.0,6000.0
ton->unsw,44,intero + guadagni float  n=128,0.5829955030136806,50.0,,128.0,84.0,0.5824733110558492,,,
ton->unsw,44,intero + guadagni interi n=128,0.6545606586838504,50.0,,128.0,,0.6532896674544306,"[324, 75, 73, -12, -441, -256, -58, -81, 165, -59, 389, 992]",0.0,6000.0
ton->unsw,45,float non adattato,0.22469049688502904,50.0,,,,,,,
ton->unsw,45,intero non adattato,0.40360544984263047,50.0,0.7175295820671936,,,,,,
ton->unsw,45,intero + guadagni float  n=8,0.4988846681880198,50.0,,8.0,4.0,0.49959892559235863,,,
ton->unsw,45,intero + guadagni interi n=8,0.4963050811221645,50.0,,8.0,,0.49725398571161766,"[-518, -123, -92, 512, -219, -303, 300, 582, 223, -536, 19, 6438]",4593.0,6000.0
ton->unsw,45,intero + guadagni float  n=32,0.5990651366110531,50.0,,32.0,21.0,0.5989351563391435,,,
ton->unsw,45,intero + guadagni interi n=32,0.5935137241682222,50.0,,32.0,,0.5928899348768601,"[391, 20, 86, 79, -295, -191, 512, -470, 168, 17, -1024, -1116]",5867.0,6000.0
ton->unsw,45,intero + guadagni float  n=128,0.48493544471570266,50.0,,128.0,64.0,0.48243487569486543,,,
ton->unsw,45,intero + guadagni interi n=128,0.5012863659693639,50.0,,128.0,,0.4989241414122456,"[-33, 148, -44, 45, -316, -86, 10, -64, 325, -25, -135, 1121]",2515.0,6000.0
ton->unsw,46,float non adattato,0.22808777708628028,50.0,,,,,,,
ton->unsw,46,intero non adattato,0.28909253235591237,50.0,0.9204301576028532,,,,,,
ton->unsw,46,intero + guadagni float  n=8,0.4157698792142029,50.0,,8.0,2.0,0.41663692798473617,,,
ton->unsw,46,intero + guadagni interi n=8,0.40808433855739656,50.0,,8.0,,0.40924784862342517,"[-249, 146, 512, -14, -512, 121, 165, 255, 687, 13, 284, -3307]",5971.0,6000.0
ton->unsw,46,intero + guadagni float  n=32,0.5497169565459435,50.0,,32.0,15.0,0.5495214891087608,,,
ton->unsw,46,intero + guadagni interi n=32,0.5211877379597127,50.0,,32.0,,0.5221285497055669,"[393, 73, 284, -116, -379, 3, 59, -1, 427, -16, -60, -967]",6000.0,6000.0
ton->unsw,46,intero + guadagni float  n=128,0.7644171428963926,50.0,,128.0,67.0,0.7621393159369727,,,
ton->unsw,46,intero + guadagni interi n=128,0.5634559829253136,50.0,,128.0,,0.5636658946492259,"[173, 4, 73, -67, -512, -78, 31, -57, 342, -23, -53, -1504]",6000.0,6000.0
ton->unsw,47,float non adattato,0.2303150215784439,50.0,,,,,,,
ton->unsw,47,intero non adattato,0.2896516447160286,50.0,0.9001990895437241,,,,,,
ton->unsw,47,intero + guadagni float  n=8,0.7283836033843851,50.0,,8.0,5.0,0.7286158317328917,,,
ton->unsw,47,intero + guadagni interi n=8,0.5759779503108773,50.0,,8.0,,0.5752349064826379,"[36, 256, 119, -65, -335, 164, 256, -305, 551, -256, -329, -2597]",6000.0,6000.0
ton->unsw,47,intero + guadagni float  n=32,0.693721372684673,50.0,,32.0,18.0,0.6948260820009884,,,
ton->unsw,47,intero + guadagni interi n=32,0.5915556883911799,50.0,,32.0,,0.5900010755386655,"[83, 89, 71, -61, -512, -256, 107, -113, 250, 24, 157, -4096]",6000.0,6000.0
ton->unsw,47,intero + guadagni float  n=128,0.5936834736944508,50.0,,128.0,74.0,0.5906592372295653,,,
