exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,ratio
bot->ton,44,martingala_int,19,1.0,0.9179550617119889,17,544,20.0
bot->ton,45,statico,0,0.0,0.98245,0,0,20.0
bot->ton,45,ogni_batch_int,0,0.0,0.98245,0,0,20.0
bot->ton,45,martingala_int,0,0.0,0.98245,0,0,20.0
bot->ton,45,statico,1,0.053,0.9192361530793031,0,0,20.0
bot->ton,45,ogni_batch_int,1,0.053,0.9192361530793031,1,32,20.0
bot->ton,45,martingala_int,1,0.053,0.9192361530793031,0,0,20.0
bot->ton,45,statico,2,0.105,0.9083740413777747,0,0,20.0
bot->ton,45,ogni_batch_int,2,0.105,0.6494521474705801,2,64,20.0
bot->ton,45,martingala_int,2,0.105,0.9083740413777747,0,0,20.0
bot->ton,45,statico,3,0.158,0.8975054645127712,0,0,20.0
bot->ton,45,ogni_batch_int,3,0.158,0.6402800360870966,3,96,20.0
bot->ton,45,martingala_int,3,0.158,0.8975054645127712,0,0,20.0
bot->ton,45,statico,4,0.211,0.88059223996724,0,0,20.0
bot->ton,45,ogni_batch_int,4,0.211,0.7352691825348076,4,128,20.0
bot->ton,45,martingala_int,4,0.211,0.7836718110155609,1,32,20.0
bot->ton,45,statico,5,0.263,0.8589664007153175,0,0,20.0
bot->ton,45,ogni_batch_int,5,0.263,0.8656862576518329,5,160,20.0
bot->ton,45,martingala_int,5,0.263,0.7818728935965336,2,64,20.0
bot->ton,45,statico,6,0.316,0.8446566987717432,0,0,20.0
bot->ton,45,ogni_batch_int,6,0.316,0.8978079181526712,6,192,20.0
bot->ton,45,martingala_int,6,0.316,0.8971036709972569,3,96,20.0
bot->ton,45,statico,7,0.368,0.8469085599078094,0,0,20.0
bot->ton,45,ogni_batch_int,7,0.368,0.8904048666397781,7,224,20.0
bot->ton,45,martingala_int,7,0.368,0.8825716459287023,4,128,20.0
bot->ton,45,statico,8,0.421,0.822501491230082,0,0,20.0
bot->ton,45,ogni_batch_int,8,0.421,0.8838272922519688,8,256,20.0
bot->ton,45,martingala_int,8,0.421,0.8750173824995775,5,160,20.0
bot->ton,45,statico,9,0.474,0.8059723841234472,0,0,20.0
bot->ton,45,ogni_batch_int,9,0.474,0.8872857728615008,9,288,20.0
bot->ton,45,martingala_int,9,0.474,0.8878166350940111,6,192,20.0
bot->ton,45,statico,10,0.526,0.7913151729485364,0,0,20.0
bot->ton,45,ogni_batch_int,10,0.526,0.8857504235419713,10,320,20.0
bot->ton,45,martingala_int,10,0.526,0.8809967562665467,7,224,20.0
bot->ton,45,statico,11,0.579,0.7769834199770506,0,0,20.0
bot->ton,45,ogni_batch_int,11,0.579,0.8885839213864692,11,352,20.0
bot->ton,45,martingala_int,11,0.579,0.8793998994635936,8,256,20.0
bot->ton,45,statico,12,0.632,0.7526869656036228,0,0,20.0
bot->ton,45,ogni_batch_int,12,0.632,0.8772936025499178,12,384,20.0
bot->ton,45,martingala_int,12,0.632,0.8619269098271136,9,288,20.0
bot->ton,45,statico,13,0.684,0.7479707747534459,0,0,20.0
bot->ton,45,ogni_batch_int,13,0.684,0.8605736378812171,13,416,20.0
bot->ton,45,martingala_int,13,0.684,0.9191278017136018,10,320,20.0
bot->ton,45,statico,14,0.737,0.7222589933429219,0,0,20.0
bot->ton,45,ogni_batch_int,14,0.737,0.8651473261199278,14,448,20.0
bot->ton,45,martingala_int,14,0.737,0.929542893187648,11,352,20.0
bot->ton,45,statico,15,0.789,0.7168909484864683,0,0,20.0
bot->ton,45,ogni_batch_int,15,0.789,0.8684737012985873,15,480,20.0
bot->ton,45,martingala_int,15,0.789,0.8987140863230717,12,384,20.0
bot->ton,45,statico,16,0.842,0.6937049487817761,0,0,20.0
bot->ton,45,ogni_batch_int,16,0.842,0.8486513091875278,16,512,20.0
bot->ton,45,martingala_int,16,0.842,0.8598789789106129,13,416,20.0
bot->ton,45,statico,17,0.895,0.6723393759729221,0,0,20.0
