exp,seed,spazio,metodo,bal_acc,n_feature,bal_in_domain,roc_auc
bot->ton,47,ridotto (6+2),non adattato,0.48928538502139185,6,0.9930398322851153,0.7704296571723079
bot->ton,47,ridotto (6+2),32 etichette,0.869061337967397,6,0.9930398322851153,
bot->ton,47,ridotto (6+2),128 etichette,0.929502920112937,6,0.9930398322851153,
bot->ton,48,ricco (13+2),non adattato,0.5512176487646157,10,0.9950733752620545,0.7734945657371013
bot->ton,48,ricco (13+2),32 etichette,0.8150660236535763,10,0.9950733752620545,
bot->ton,48,ricco (13+2),128 etichette,0.7706039894061011,10,0.9950733752620545,
bot->ton,48,ridotto (6+2),non adattato,0.4824240726389846,6,0.9941719077568134,0.7188006375936861
bot->ton,48,ridotto (6+2),32 etichette,0.8503746873416242,6,0.9941719077568134,
bot->ton,48,ridotto (6+2),128 etichette,0.8453234549784512,6,0.9941719077568134,
bot->ton,49,ricco (13+2),non adattato,0.6968267652117758,10,0.9925157232704402,0.8598622274796173
bot->ton,49,ricco (13+2),32 etichette,0.8376406420618132,10,0.9925157232704402,
bot->ton,49,ricco (13+2),128 etichette,0.8490796988434643,10,0.9925157232704402,
bot->ton,49,ridotto (6+2),non adattato,0.5259294296554337,6,0.9915513626834381,0.7671450810032102
bot->ton,49,ridotto (6+2),32 etichette,0.8384473851048599,6,0.9915513626834381,
bot->ton,49,ridotto (6+2),128 etichette,0.8570214432934185,6,0.9915513626834381,
bot->ton,50,ricco (13+2),non adattato,0.6922856045279832,10,0.9923899371069183,0.8542844521028544
bot->ton,50,ricco (13+2),32 etichette,,10,0.9923899371069183,
bot->ton,50,ricco (13+2),128 etichette,,10,0.9923899371069183,
bot->ton,50,ridotto (6+2),non adattato,0.5846787238191042,6,0.9932285115303983,0.7539325149183758
bot->ton,50,ridotto (6+2),32 etichette,0.6937448269106108,6,0.9932285115303983,
bot->ton,50,ridotto (6+2),128 etichette,0.7222378439360715,6,0.9932285115303983,
