exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti
ton->bot,43,oracolo,8,0.421,0.9525142351685094,8,256,False,0.05445
ton->bot,43,stat_13x13,8,0.421,0.9617544526175819,8,256,False,0.05445
ton->bot,43,martingala,8,0.421,0.962043707663496,4,128,False,0.05445
ton->bot,43,stat_13x13_adaptive,8,0.421,0.9515213910341986,8,256,False,0.05445
ton->bot,43,statico,9,0.474,0.8290750419380153,0,0,False,0.0546
ton->bot,43,ogni_batch,9,0.474,0.9695155548724739,9,288,False,0.0546
ton->bot,43,su_innesco,9,0.474,0.8290750419380153,0,0,False,0.0546
ton->bot,43,oracolo,9,0.474,0.9567106201711515,9,288,False,0.0546
ton->bot,43,stat_13x13,9,0.474,0.9646358529905852,9,288,False,0.0546
ton->bot,43,martingala,9,0.474,0.9688319150470883,5,160,False,0.0546
ton->bot,43,stat_13x13_adaptive,9,0.474,0.9586716206883111,9,288,False,0.0546
ton->bot,43,statico,10,0.526,0.8148593963056027,0,0,False,0.0585
ton->bot,43,ogni_batch,10,0.526,0.9699144957155323,10,320,False,0.0585
ton->bot,43,su_innesco,10,0.526,0.8148593963056027,0,0,False,0.0585
ton->bot,43,oracolo,10,0.526,0.9605926104581783,10,320,False,0.0585
ton->bot,43,stat_13x13,10,0.526,0.910729506928996,10,320,False,0.0585
ton->bot,43,martingala,10,0.526,0.9693959396679208,6,192,False,0.0585
ton->bot,43,stat_13x13_adaptive,10,0.526,0.9167931376665173,10,320,False,0.0585
ton->bot,43,statico,11,0.579,0.8012752110258092,0,0,False,0.06385
ton->bot,43,ogni_batch,11,0.579,0.9661128072391947,11,352,False,0.06385
ton->bot,43,su_innesco,11,0.579,0.8012752110258092,0,0,False,0.06385
ton->bot,43,oracolo,11,0.579,0.9600014254496828,11,352,False,0.06385
ton->bot,43,stat_13x13,11,0.579,0.9649326454402067,11,352,False,0.06385
ton->bot,43,martingala,11,0.579,0.9661507532376943,7,224,False,0.06385
ton->bot,43,stat_13x13_adaptive,11,0.579,0.9657645289660093,11,352,False,0.06385
ton->bot,43,statico,12,0.632,0.7902075901854095,0,0,False,0.0664
ton->bot,43,ogni_batch,12,0.632,0.9701348114795942,12,384,False,0.0664
ton->bot,43,su_innesco,12,0.632,0.7902075901854095,0,0,False,0.0664
ton->bot,43,oracolo,12,0.632,0.9674927563010202,12,384,False,0.0664
ton->bot,43,stat_13x13,12,0.632,0.9689662345006305,12,384,False,0.0664
ton->bot,43,martingala,12,0.632,0.9701074457087004,8,256,False,0.0664
ton->bot,43,stat_13x13_adaptive,12,0.632,0.9668051141481859,12,384,False,0.0664
ton->bot,43,statico,13,0.684,0.7744115617539034,0,0,False,0.07035
ton->bot,43,ogni_batch,13,0.684,0.9557839895696608,13,416,False,0.07035
ton->bot,43,su_innesco,13,0.684,0.7744115617539034,0,0,False,0.07035
ton->bot,43,oracolo,13,0.684,0.9607305972105682,13,416,False,0.07035
ton->bot,43,stat_13x13,13,0.684,0.9627968495044801,13,416,False,0.07035
ton->bot,43,martingala,13,0.684,0.9554603649741915,9,288,False,0.07035
ton->bot,43,stat_13x13_adaptive,13,0.684,0.9608536113821865,13,416,False,0.07035
ton->bot,43,statico,14,0.737,0.7638801862552178,0,0,False,0.07235
ton->bot,43,ogni_batch,14,0.737,0.9607982902384651,14,448,False,0.07235
ton->bot,43,su_innesco,14,0.737,0.7638801862552178,0,0,False,0.07235
ton->bot,43,oracolo,14,0.737,0.9645895554027191,14,448,False,0.07235
ton->bot,43,stat_13x13,14,0.737,0.9681992536936845,14,448,False,0.07235
ton->bot,43,martingala,14,0.737,0.9607982902384651,10,320,False,0.07235
ton->bot,43,stat_13x13_adaptive,14,0.737,0.9617424336775424,14,448,False,0.07235
ton->bot,43,statico,15,0.789,0.7468007483692088,0,0,False,0.07475
ton->bot,43,ogni_batch,15,0.789,0.9640681179075875,15,480,False,0.07475
ton->bot,43,su_innesco,15,0.789,0.7468007483692088,0,0,False,0.07475
ton->bot,43,oracolo,15,0.789,0.9639857344626159,15,480,False,0.07475
ton->bot,43,stat_13x13,15,0.789,0.9031409649257078,15,480,False,0.07475
ton->bot,43,martingala,15,0.789,0.9640943536091302,11,352,False,0.07475
ton->bot,43,stat_13x13_adaptive,15,0.789,0.9733074296164641,15,480,False,0.07475
ton->bot,43,statico,16,0.842,0.741412105688681,0,0,False,0.07775
ton->bot,43,ogni_batch,16,0.842,0.9581348594031007,16,512,False,0.07775
ton->bot,43,su_innesco,16,0.842,0.741412105688681,0,0,False,0.07775
ton->bot,43,oracolo,16,0.842,0.9614275006350893,16,512,False,0.07775
ton->bot,43,stat_13x13,16,0.842,0.9604273884882801,16,512,False,0.07775
ton->bot,43,martingala,16,0.842,0.9583815960264557,12,384,False,0.07775
ton->bot,43,stat_13x13_adaptive,16,0.842,0.9489225174693895,16,512,False,0.07775
ton->bot,43,statico,17,0.895,0.7285425751420626,0,0,False,0.08355
ton->bot,43,ogni_batch,17,0.895,0.9594738072495174,17,544,False,0.08355
ton->bot,43,su_innesco,17,0.895,0.7285425751420626,0,0,False,0.08355
ton->bot,43,oracolo,17,0.895,0.9640880695092274,17,544,False,0.08355
ton->bot,43,stat_13x13,17,0.895,0.7713372367703325,17,544,False,0.08355
ton->bot,43,martingala,17,0.895,0.9585244564002332,13,416,False,0.08355
ton->bot,43,stat_13x13_adaptive,17,0.895,0.9143832680576475,17,544,False,0.08355
ton->bot,43,statico,18,0.947,0.7196095132593385,0,0,False,0.08525
ton->bot,43,ogni_batch,18,0.947,0.9703139318159524,18,576,False,0.08525
ton->bot,43,su_innesco,18,0.947,0.7196095132593385,0,0,False,0.08525
ton->bot,43,oracolo,18,0.947,0.9682178230455925,18,576,False,0.08525
ton->bot,43,stat_13x13,18,0.947,0.7714509706341401,18,576,False,0.08525
ton->bot,43,martingala,18,0.947,0.9723077573370785,14,448,False,0.08525
ton->bot,43,stat_13x13_adaptive,18,0.947,0.9275639200523818,18,576,False,0.08525
ton->bot,43,statico,19,1.0,0.34441888377675534,0,0,False,0.08805
ton->bot,43,ogni_batch,19,1.0,0.622999599919984,19,608,False,0.08805
ton->bot,43,su_innesco,19,1.0,0.34441888377675534,0,0,False,0.08805
ton->bot,43,oracolo,19,1.0,0.8650980196039209,19,608,False,0.08805
ton->bot,43,stat_13x13,19,1.0,0.7484246849369873,19,608,False,0.08805
ton->bot,43,martingala,19,1.0,0.622999599919984,15,480,False,0.08805
ton->bot,43,stat_13x13_adaptive,19,1.0,0.7484246849369873,19,608,False,0.08805
ton->bot,44,statico,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,ogni_batch,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,su_innesco,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,oracolo,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,stat_13x13,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,martingala,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,stat_13x13_adaptive,0,0.0,0.9685059018115711,0,0,False,0.02965
ton->bot,44,statico,1,0.053,0.9548173062919366,0,0,False,0.03665
ton->bot,44,ogni_batch,1,0.053,0.9368359179369679,1,32,False,0.03665
ton->bot,44,su_innesco,1,0.053,0.9548173062919366,0,0,False,0.03665
ton->bot,44,oracolo,1,0.053,0.9245655563432011,1,32,False,0.03665
ton->bot,44,stat_13x13,1,0.053,0.9384884973396318,1,32,False,0.03665
ton->bot,44,martingala,1,0.053,0.9548173062919366,0,0,False,0.03665
ton->bot,44,stat_13x13_adaptive,1,0.053,0.9467299001449269,1,32,False,0.03665
ton->bot,44,statico,2,0.105,0.9321068711769867,0,0,False,0.0455
ton->bot,44,ogni_batch,2,0.105,0.9327579656979452,2,64,False,0.0455
ton->bot,44,su_innesco,2,0.105,0.9321068711769867,0,0,False,0.0455
ton->bot,44,oracolo,2,0.105,0.9342923454323295,2,64,False,0.0455
ton->bot,44,stat_13x13,2,0.105,0.9164861335253176,2,64,False,0.0455
ton->bot,44,martingala,2,0.105,0.9321068711769867,0,0,False,0.0455
ton->bot,44,stat_13x13_adaptive,2,0.105,0.8677020885650346,2,64,False,0.0455
ton->bot,44,statico,3,0.158,0.9171673388214096,0,0,False,0.05325
