exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
ton->bot,49,"KAN(cat,ML)",0.4225741405332729,0.5699058498287263,0.375253641717809,0.9997226347000491,0.589098532494759,0.25604974857178686,-6.397212982177734,0.0,213.5,0.4804561957502922,0.5,0.3967918803467055
ton->bot,49,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074962948,0.5,1.9,0.5555413790664449,0.5,0.5465708337946023
ton->bot,49,LightGBM,0.4780408244078792,0.5975649956718814,0.5279796760104699,0.9999721805356334,0.6645702306079665,0.29151141820779186,0.002253300067660803,0.5,28.7,0.5699626235127113,0.5,0.47804259646901803
ton->bot,49,XGBoost,0.5650738163198132,0.5705073647086689,0.4643754513401284,0.9999273635612849,0.689727463312369,0.4404201693272574,0.4718111455440521,0.5,19.8,0.4680310131446214,0.5,0.566015734971302
ton->bot,49,MLP(16),0.38487271221398756,0.5825780384962379,0.3336084937630921,0.9987752811981891,0.389937106918239,0.3798083175097361,0.0017970239008408904,0.5,54.2,0.4734055194054797,0.5,0.3848851166419594
ton->bot,50,"KAN(cat,1L)",0.5489363168007287,0.61897920373803,0.5416597468122138,0.9932995262134956,0.6561844863731656,0.4416881472282919,0.5211636455901352,0.0,58.5,0.49585203438662784,0.510482180293501,0.5894458721953328
ton->bot,50,"KAN(cat,ML)",0.4819880615889579,0.6283527856122398,0.5372230478266785,0.9997817645597761,0.6729559748427673,0.29102014833514855,-6.69367790222168,0.0,214.4,0.5288496591531417,0.5,0.5369602106661489
ton->bot,50,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963708,0.5,1.8,0.5555413790664449,0.5,0.5465708337946023
ton->bot,50,LightGBM,0.48793743094166153,0.6751415512064243,0.5818597401863457,0.9999709848301387,0.6834381551362684,0.29243670674705463,0.0015029534559185924,0.5,28.0,0.6348968713713343,0.5,0.48601015856552243
ton->bot,50,XGBoost,0.5003626809891043,0.5716107015266556,0.47702924326390933,0.9999270390516819,0.6981132075471698,0.3026121544310389,0.37845656275749207,0.5,19.6,0.50427209962494,0.5,0.5003645893626385
ton->bot,50,MLP(16),0.4523446879358183,0.57607687656738,0.36153762102229536,0.9987226684177517,0.5136268343815513,0.3910625414900853,2.4316447057901185e-05,0.5,56.7,0.46524128281303334,0.5,0.4633530232158899
ton->bot,51,"KAN(cat,1L)",0.5698984963894062,0.6294027885623887,0.5428361650776028,0.9930651701719416,0.6981132075471698,0.4416837852316425,0.29210128852929473,0.0,58.5,0.49556441523255523,0.510482180293501,0.6014457492684147
ton->bot,51,"KAN(cat,ML)",0.4418519132829236,0.5002501332453664,0.39251146852335467,0.9997046320547928,0.6540880503144654,0.22961577625138185,8.453766109943672,0.0,214.3,0.45885882469000866,0.5,0.46048099391842967
ton->bot,51,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963863,0.5,1.8,0.5555413790664449,0.5,0.5465708337946023
ton->bot,51,LightGBM,0.47278221340312454,0.6087001352004633,0.5293977998716453,0.999970259744292,0.660377358490566,0.28518706831568313,0.001846786382192361,0.5,28.9,0.5891039664155064,0.5,0.4727823497155199
