exp,seed,metodo,bal_acc,frazione_positivi,etichette,nota
unsw->ton,43,TENT,0.5,0.0,0,
unsw->ton,43,TENT filtrato,0.4998627809342846,0.00017058135071999544,0,
unsw->ton,43,IM (SHOT),0.3559613393938265,0.5884535379045976,0,
unsw->ton,43,8 etichette,0.6456790580776562,0.5366299758816924,8,
unsw->ton,43,IM seleziona + 8 etichette,0.6456790580776562,0.5366299758816924,8,
unsw->ton,43,IM come prior + 8 etichette,0.3558637584371876,0.5885246134673976,8,
unsw->ton,43,32 etichette,0.7695803263103643,0.7465634965386201,32,
unsw->ton,43,IM seleziona + 32 etichette,0.7695803263103643,0.7465634965386201,32,
unsw->ton,43,IM come prior + 32 etichette,0.3561427108287849,0.5883303402624109,32,
unsw->ton,44,non adattato,0.2792441185273498,0.19097056050188824,0,
unsw->ton,44,EM sul prior,0.48954628565041636,0.005325928839146525,0,prior stimato 0.0427 vero 0.7631
unsw->ton,44,TENT,0.3694293904112566,0.06224797790023834,0,
unsw->ton,44,TENT filtrato,0.5,0.0,0,
unsw->ton,44,IM (SHOT),0.35226791080643055,0.5902967641665443,0,
unsw->ton,44,8 etichette,0.555781568959843,0.7101917618684344,8,
unsw->ton,44,IM seleziona + 8 etichette,0.555781568959843,0.7101917618684344,8,
unsw->ton,44,IM come prior + 8 etichette,0.35226791080643055,0.5902967641665443,8,
unsw->ton,44,32 etichette,0.8253565086964352,0.7673270376179262,32,
unsw->ton,44,IM seleziona + 32 etichette,0.8253565086964352,0.7673270376179262,32,
unsw->ton,44,IM come prior + 32 etichette,0.35226791080643055,0.5902967641665443,32,
bot->unsw,42,non adattato,0.46653615875685595,0.20615275950526443,0,
bot->unsw,42,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.6391
bot->unsw,42,TENT,0.4660490902498265,0.10226139331633505,0,
bot->unsw,42,TENT filtrato,0.48884821708241727,0.06884306854035929,0,
bot->unsw,42,IM (SHOT),0.2910549118556169,0.5059358178776977,0,
bot->unsw,42,8 etichette,0.7069693058364153,0.5168721596752474,8,
bot->unsw,42,IM seleziona + 8 etichette,0.7069693058364153,0.5168721596752474,8,
bot->unsw,42,IM come prior + 8 etichette,0.29091802630158736,0.5058038676927734,8,
bot->unsw,42,32 etichette,0.7446565640449117,0.6039670435008713,32,
bot->unsw,42,IM seleziona + 32 etichette,0.7446565640449117,0.6039670435008713,32,
bot->unsw,42,IM come prior + 32 etichette,0.2899928843340164,0.5057611779270625,32,
bot->unsw,43,non adattato,0.45024325687094835,0.104725757064186,0,
bot->unsw,43,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.6391
bot->unsw,43,TENT,0.5,0.0,0,
bot->unsw,43,TENT filtrato,0.5,0.0,0,
bot->unsw,43,IM (SHOT),0.4200210989991308,0.5355702770565794,0,
