exp,ratio,seed,batch,politica,bal_acc,norma_guadagni,bias,n_min,saltati
bot->ton,50.0,42,5,statico,0.9351142163139456,3.4641016151377544,0.0,,
bot->ton,50.0,42,5,rls,0.6102669346174293,6.541060518559239,3.089528949963712,15.0,0.0
bot->ton,50.0,42,5,rls_guardia,0.6067507447158237,5.210169643443455,2.124497888752416,11.0,3.0
bot->ton,50.0,42,5,rls_prossimale,0.8091133177158543,5.962903015951041,1.7502264232450877,1.0,0.0
bot->ton,50.0,42,5,rls_guardia_prossimale,0.592822651328185,5.060487325009702,2.99778110126612,9.0,3.0
bot->ton,50.0,42,6,statico,0.9160601826803336,3.4641016151377544,0.0,,
bot->ton,50.0,42,6,rls,0.7320408199712167,7.146739680690807,2.8117583164242705,13.0,0.0
bot->ton,50.0,42,6,rls_guardia,0.6177229456474658,5.601532634538037,1.3167622686414953,4.0,3.0
bot->ton,50.0,42,6,rls_prossimale,0.8088966197852064,5.96518137968591,2.2572800934906887,13.0,0.0
bot->ton,50.0,42,6,rls_guardia_prossimale,0.7153215554789031,6.550645271873743,2.6905408277834097,3.0,3.0
bot->ton,50.0,42,7,statico,0.9135132911298868,3.4641016151377544,0.0,,
bot->ton,50.0,42,7,rls,0.5992239411815005,5.933819833361508,2.4875695911737554,12.0,0.0
bot->ton,50.0,42,7,rls_guardia,0.6457911726716047,18.70194951671099,1.973925650786248,7.0,3.0
bot->ton,50.0,42,7,rls_prossimale,0.8092368454357073,49.42976765538592,2.5296286696857795,12.0,0.0
bot->ton,50.0,42,7,rls_guardia_prossimale,0.743928319339719,5.977805623798168,3.1004350058500902,8.0,3.0
bot->ton,50.0,42,8,statico,0.906328625380632,3.4641016151377544,0.0,,
bot->ton,50.0,42,8,rls,0.7338788006457748,5.888793235854673,2.5900067146370405,8.0,0.0
bot->ton,50.0,42,8,rls_guardia,0.775966398653346,5.4159974856177096,1.9483747347629368,13.0,3.0
bot->ton,50.0,42,8,rls_prossimale,0.680621674242897,7.483790884221168,3.253311384106085,3.0,0.0
bot->ton,50.0,42,8,rls_guardia_prossimale,0.7355532778179709,5.387006461898607,3.623462066445343,13.0,3.0
bot->ton,50.0,42,9,statico,0.8900630770175935,3.4641016151377544,0.0,,
bot->ton,50.0,42,9,rls,0.7295688000903037,19.624229404642783,2.683830837249056,4.0,0.0
bot->ton,50.0,42,9,rls_guardia,0.7788653358750526,5.698599165507365,2.2204013451009805,4.0,3.0
bot->ton,50.0,42,9,rls_prossimale,0.6806909129186152,7.424941994691884,1.965033747344601,4.0,0.0
bot->ton,50.0,42,9,rls_guardia_prossimale,0.7449071137765593,5.439650502006254,3.5129948622491973,4.0,3.0
bot->ton,50.0,42,10,statico,0.8785444812920238,3.4641016151377544,0.0,,
bot->ton,50.0,42,10,rls,0.7392645677529615,4.476393054563282,2.2897454964503705,3.0,0.0
bot->ton,50.0,42,10,rls_guardia,0.7814307892669418,4.214862013188818,1.8990063630855205,3.0,3.0
bot->ton,50.0,42,10,rls_prossimale,0.6756146471279862,6.3578951522319045,1.3011582437364035,3.0,0.0
bot->ton,50.0,42,10,rls_guardia_prossimale,0.6399798071667386,4.189041932672813,2.499889299173052,3.0,3.0
bot->ton,50.0,42,11,statico,0.8698747006730811,3.4641016151377544,0.0,,
bot->ton,50.0,42,11,rls,0.7417142398714243,4.319571875758846,2.2831406092854127,3.0,0.0
bot->ton,50.0,42,11,rls_guardia,0.7838023687276179,4.3581104644892665,1.9143715652533435,3.0,3.0
bot->ton,50.0,42,11,rls_prossimale,0.6779815388100272,6.068252874862142,1.1816829106855908,3.0,0.0
bot->ton,50.0,42,11,rls_guardia_prossimale,0.6571007895758727,4.172184805178934,2.2989986308625374,3.0,3.0
bot->ton,50.0,42,12,statico,0.8571545072711027,3.4641016151377544,0.0,,
bot->ton,50.0,42,12,rls,0.7337111256531312,4.424229328339671,2.375235568983808,15.0,0.0
bot->ton,50.0,42,12,rls_guardia,0.7793466985554283,4.399847928457995,1.9109080487965977,6.0,3.0
bot->ton,50.0,42,12,rls_prossimale,0.684851862228933,5.8683579884085,1.2946270116901006,13.0,0.0
bot->ton,50.0,42,12,rls_guardia_prossimale,0.7310832665016684,4.312549093309294,2.2905270022544766,11.0,3.0
bot->ton,50.0,42,13,statico,0.8487443546004785,3.4641016151377544,0.0,,
bot->ton,50.0,42,13,rls,0.7244084270233125,5.407781624819531,2.2292671408548017,4.0,0.0
bot->ton,50.0,42,13,rls_guardia,0.7845023452455706,6.35165067061912,1.945179014637333,4.0,3.0
bot->ton,50.0,42,13,rls_prossimale,0.8074149552877052,6.656616215167767,1.1818045354440274,4.0,0.0
bot->ton,50.0,42,13,rls_guardia_prossimale,0.7731265203959121,5.799198293444859,2.581602090234231,4.0,3.0
bot->ton,50.0,42,14,statico,0.8380517264438185,3.4641016151377544,0.0,,
bot->ton,50.0,42,14,rls,0.7293981795256741,3.5680703324544485,1.77173093581258,9.0,0.0
