exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette
ton->bot,48,statico,8,0.421,0.7898193363309642,0,0
ton->bot,48,ogni_batch_int,8,0.421,0.9481863189290045,8,256
ton->bot,48,martingala_int,8,0.421,0.7898193363309642,0,0
ton->bot,48,statico,9,0.474,0.7789332451162856,0,0
ton->bot,48,ogni_batch_int,9,0.474,0.9437251270849607,9,288
ton->bot,48,martingala_int,9,0.474,0.7789332451162856,0,0
ton->bot,48,statico,10,0.526,0.7600966361792931,0,0
ton->bot,48,ogni_batch_int,10,0.526,0.9511687337673804,10,320
ton->bot,48,martingala_int,10,0.526,0.7600966361792931,0,0
ton->bot,48,statico,11,0.579,0.7497941225304852,0,0
ton->bot,48,ogni_batch_int,11,0.579,0.9574627399313544,11,352
ton->bot,48,martingala_int,11,0.579,0.7497941225304852,0,0
ton->bot,48,statico,12,0.632,0.7377738628334369,0,0
ton->bot,48,ogni_batch_int,12,0.632,0.9166795290721229,12,384
ton->bot,48,martingala_int,12,0.632,0.7377738628334369,0,0
ton->bot,48,statico,13,0.684,0.7236100499304994,0,0
ton->bot,48,ogni_batch_int,13,0.684,0.9088223516247258,13,416
ton->bot,48,martingala_int,13,0.684,0.7236100499304994,0,0
ton->bot,48,statico,14,0.737,0.710660389957265,0,0
ton->bot,48,ogni_batch_int,14,0.737,0.840337873931624,14,448
ton->bot,48,martingala_int,14,0.737,0.710660389957265,0,0
ton->bot,48,statico,15,0.789,0.7074182870666412,0,0
ton->bot,48,ogni_batch_int,15,0.789,0.9177627604700118,15,480
ton->bot,48,martingala_int,15,0.789,0.7074182870666412,0,0
ton->bot,48,statico,16,0.842,0.6782309770160009,0,0
ton->bot,48,ogni_batch_int,16,0.842,0.9263291429184602,16,512
ton->bot,48,martingala_int,16,0.842,0.801791897614105,1,32
ton->bot,48,statico,17,0.895,0.6777079639577654,0,0
ton->bot,48,ogni_batch_int,17,0.895,0.9144418680039166,17,544
ton->bot,48,martingala_int,17,0.895,0.8132335137209241,1,32
ton->bot,48,statico,18,0.947,0.6698193353174999,0,0
ton->bot,48,ogni_batch_int,18,0.947,0.9252432900570937,18,576
ton->bot,48,martingala_int,18,0.947,0.8000997777255197,2,64
ton->bot,48,statico,19,1.0,0.7192469246924693,0,0
ton->bot,48,ogni_batch_int,19,1.0,0.7484498449844985,19,608
ton->bot,48,martingala_int,19,1.0,0.998024802480248,3,96
ton->bot,49,statico,0,0.0,0.9193023217842231,0,0
