exp,seed,regola,budget,normali_selezionate,q_conformal,bal_partenza,bal_acc,esito
bot->ton,42,adattiva,128,23,0.07708550903094413,0.7691993874927814,0.8530280220143857,ok
bot->ton,42,bilanciato,128,64,0.07708550903094413,0.7691993874927814,0.9072069763009621,ok
bot->ton,42,casuale,512,121,0.07708550903094413,0.7691993874927814,0.9089236517694135,ok
bot->ton,42,margine,512,12,0.07708550903094413,0.7691993874927814,0.666369692527805,ok
bot->ton,42,strat_z,512,131,0.07708550903094413,0.7691993874927814,0.8348283911024686,ok
bot->ton,42,conformal,512,65,0.07708550903094413,0.7691993874927814,0.8454041952588129,ok
bot->ton,42,conformal_top,512,12,0.07708550903094413,0.7691993874927814,0.666369692527805,ok
bot->ton,42,misto,512,63,0.07708550903094413,0.7691993874927814,0.9171493792803239,ok
bot->ton,42,adattiva,512,127,0.07708550903094413,0.7691993874927814,0.9139597001161048,ok
bot->ton,42,bilanciato,512,256,0.07708550903094413,0.7691993874927814,0.9114693215818631,ok
bot->ton,43,casuale,8,1,0.23367718595692688,0.6143289645001646,0.7641980429091679,ok
bot->ton,43,margine,8,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,strat_z,8,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,conformal,8,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,conformal_top,8,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,misto,8,0,0.23367718595692688,0.6143289645001646,,fallita: una sola classe
bot->ton,43,adattiva,8,2,0.23367718595692688,0.6143289645001646,0.7521277273900622,ok
bot->ton,43,bilanciato,8,4,0.23367718595692688,0.6143289645001646,0.6874804689136089,ok
