exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
bot->ton,47,intero + guadagni interi n=128,0.8213058729636149,1.0,,128.0,,0.8225189222958904,"[-30, -96, 27, 2, -256, -67, -143, -256, 109, -89, 1024, 1]",19.0,6000.0
bot->ton,48,float non adattato,0.7013655637314258,1.0,,,,,,,
bot->ton,48,intero non adattato,0.4638542307955018,1.0,0.5548347967001985,,,,,,
bot->ton,48,intero + guadagni float  n=8,0.7899659883615819,1.0,,8.0,2.0,0.7912374234144726,,,
bot->ton,48,intero + guadagni interi n=8,0.7944857090398512,1.0,,8.0,,0.7973017883755589,"[-39, -256, -61, 100, -133, -336, -30, -85, 43, 102, 519, -195]",1074.0,6000.0
bot->ton,48,intero + guadagni float  n=32,0.8728386461539877,1.0,,32.0,9.0,0.8750027593316643,,,
bot->ton,48,intero + guadagni interi n=32,0.8699165527807893,1.0,,32.0,,0.8719897361460094,"[9, -256, 152, 3, -103, -152, -166, -128, 128, -89, 1024, 168]",843.0,6000.0
bot->ton,48,intero + guadagni float  n=128,0.8143528003196165,1.0,,128.0,26.0,0.8189967066429817,,,
bot->ton,48,intero + guadagni interi n=128,0.8101178799203554,1.0,,128.0,,0.8147251233723891,"[-35, -225, 107, 42, -164, -54, -151, -128, 51, -23, 889, 247]",5964.0,6000.0
bot->ton,49,float non adattato,0.644554478307036,1.0,,,,,,,
bot->ton,49,intero non adattato,0.44956480734958987,1.0,0.6185943149026502,,,,,,
bot->ton,49,intero + guadagni float  n=8,0.8353876423019996,1.0,,8.0,2.0,0.837055162040391,,,
bot->ton,49,intero + guadagni interi n=8,0.7897876294733982,1.0,,8.0,,0.7921741756535778,"[32, -149, 66, -53, 11, -118, -214, -246, 186, -22, 388, -3087]",181.0,6000.0
bot->ton,49,intero + guadagni float  n=32,0.8054187499775869,1.0,,32.0,6.0,0.8028213584560269,,,
bot->ton,49,intero + guadagni interi n=32,0.8002950854445308,1.0,,32.0,,0.797913686820592,"[14, -195, 28, 55, -120, -87, 49, -256, 37, 33, 889, -87]",4973.0,6000.0
bot->ton,49,intero + guadagni float  n=128,0.7966041000759503,1.0,,128.0,22.0,0.79390449385105,,,
bot->ton,49,intero + guadagni interi n=128,0.7950928975320304,1.0,,128.0,,0.7922037764374541,"[61, -56, -1, 28, -193, 47, 7, -228, 77, 10, 850, -2048]",4953.0,6000.0
bot->ton,50,float non adattato,0.5132297235520947,1.0,,,,,,,
bot->ton,50,intero non adattato,0.5331908752320809,1.0,0.8241448425202447,,,,,,
bot->ton,50,intero + guadagni float  n=8,0.6399810371288941,1.0,,8.0,2.0,0.6385130979808876,,,
bot->ton,50,intero + guadagni interi n=8,0.7537736077381573,1.0,,8.0,,0.7511175311726086,"[-125, 27, 15, 83, -38, -365, -12, -256, -48, -303, 1111, -30]",68.0,6000.0
bot->ton,50,intero + guadagni float  n=32,0.7470273296256364,1.0,,32.0,6.0,0.7458410774532034,,,
bot->ton,50,intero + guadagni interi n=32,0.7168062003238531,1.0,,32.0,,0.7157529258877875,"[-90, 138, 87, -162, 144, -256, 59, -256, -82, -135, 558, 79]",2921.0,6000.0
bot->ton,50,intero + guadagni float  n=128,0.8487650906384534,1.0,,128.0,27.0,0.8490776218904917,,,
bot->ton,50,intero + guadagni interi n=128,0.8233678262212267,1.0,,128.0,,0.8237634176810819,"[-128, -96, 95, 4, -42, -231, -92, -155, 42, -106, 1043, 191]",0.0,6000.0
bot->ton,51,float non adattato,0.5834396802096334,1.0,,,,,,,
bot->ton,51,intero non adattato,0.4389746402513614,1.0,0.6919253422288348,,,,,,
bot->ton,51,intero + guadagni float  n=8,0.7338591289991634,1.0,,8.0,3.0,0.7366480387489391,,,
bot->ton,51,intero + guadagni interi n=8,0.754201087197482,1.0,,8.0,,0.7565096258271063,"[21, -4, 147, 178, -96, -14, 4, -238, 76, -334, 2048, 83]",28.0,6000.0
bot->ton,51,intero + guadagni float  n=32,0.8517928944541053,1.0,,32.0,13.0,0.849844581890963,,,
bot->ton,51,intero + guadagni interi n=32,0.8634237013008845,1.0,,32.0,,0.8606983851504894,"[131, -69, 44, -36, 0, -110, 52, -106, 139, -52, 1380, -442]",0.0,6000.0
bot->ton,51,intero + guadagni float  n=128,0.8666575316067908,1.0,,128.0,46.0,0.8644409850704082,,,
bot->ton,51,intero + guadagni interi n=128,0.8846339713869507,1.0,,128.0,,0.8816616917920292,"[24, -96, 17, -4, -18, -13, 77, -168, 115, -127, 1555, 79]",54.0,6000.0
ton->unsw,42,float non adattato,0.21738766368460818,1.0,,,,,,,
