exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
bot->ton,51,float non adattato,0.5764178359816944,,,,,,
bot->ton,51,intero non adattato,0.7518403066261805,0.6606331411134224,,,,,
bot->ton,51,intero + guadagni interi n=8,,,8.0,,,,
bot->ton,51,intero + guadagni float  n=32,0.8598716523560308,,32.0,3.0,,,
bot->ton,51,intero + guadagni interi n=32,0.7485491761823396,,32.0,,"[17, 43, 121, 112, 16, 9, 17, -450, 128, 74, 1942, -1244]",283.0,8800.0
bot->ton,51,intero + guadagni float  n=128,0.8428084283718503,,128.0,23.0,,,
bot->ton,51,intero + guadagni interi n=128,0.8480867069559972,,128.0,,"[58, 32, -28, -6, 37, -16, 139, -237, 128, 105, 691, -1554]",86.0,6200.0
ton->unsw,42,float non adattato,0.22506183172790337,,,,,,
ton->unsw,42,intero non adattato,0.29607566099227345,0.9104213479875657,,,,,
ton->unsw,42,intero + guadagni float  n=8,0.5028777221510258,,8.0,4.0,,,
ton->unsw,42,intero + guadagni interi n=8,0.511569635890721,,8.0,,"[-187, 13, -156, -11, -1024, -168, -180, -128, 227, -24, 172, -982]",439.0,3900.0
ton->unsw,42,intero + guadagni float  n=32,0.7456095615426194,,32.0,18.0,,,
ton->unsw,42,intero + guadagni interi n=32,0.7572136952306303,,32.0,,"[214, 149, 114, -50, -304, -350, -209, -12, -408, -64, -95, -802]",4158.0,4600.0
ton->unsw,42,intero + guadagni float  n=128,0.5758642664269527,,128.0,77.0,,,
ton->unsw,42,intero + guadagni interi n=128,0.5896274431806334,,128.0,,"[8, 173, 147, -87, -504, -178, -15, 78, 11, -91, 163, -1233]",2655.0,4800.0
ton->unsw,43,float non adattato,0.21307170515643614,,,,,,
ton->unsw,43,intero non adattato,0.29497921883505984,0.8842990922603455,,,,,
ton->unsw,43,intero + guadagni interi n=8,,,8.0,,,,
ton->unsw,43,intero + guadagni float  n=32,0.5483990020682348,,32.0,21.0,,,
ton->unsw,43,intero + guadagni interi n=32,0.4827241648258152,,32.0,,"[-413, 94, -38, 281, -379, -176, 353, 117, 256, 27, 488, -888]",4652.0,4700.0
ton->unsw,43,intero + guadagni float  n=128,0.5688655979251309,,128.0,71.0,,,
ton->unsw,43,intero + guadagni interi n=128,0.5767318773691811,,128.0,,"[-78, 60, -9, 25, -156, -241, 35, -38, 124, -56, 361, 447]",2168.0,5800.0
ton->unsw,44,float non adattato,0.22293098384814639,,,,,,
ton->unsw,44,intero non adattato,0.30322507871415944,0.8956351655004599,,,,,
ton->unsw,44,intero + guadagni float  n=8,0.6919486724645331,,8.0,4.0,,,
ton->unsw,44,intero + guadagni interi n=8,0.7502807311605209,,8.0,,"[135, -4, 32, -18, -434, -43, -6, -73, 141, -20, 338, -1762]",0.0,4000.0
ton->unsw,44,intero + guadagni float  n=32,0.770535642922147,,32.0,21.0,,,
ton->unsw,44,intero + guadagni interi n=32,0.7641648123652589,,32.0,,"[294, 56, 2, -76, -883, -62, -54, -44, 201, 29, -123, -5856]",0.0,3800.0
ton->unsw,44,intero + guadagni float  n=128,0.5828388643797738,,128.0,84.0,,,
ton->unsw,44,intero + guadagni interi n=128,0.7605497001876389,,128.0,,"[290, 54, 62, -13, -416, -256, -63, -59, 118, -45, 356, 329]",0.0,3200.0
ton->unsw,45,float non adattato,0.22469049688502904,,,,,,
ton->unsw,45,intero non adattato,0.40360544984263047,0.7175295820671936,,,,,
ton->unsw,45,intero + guadagni float  n=8,0.49909894149301837,,8.0,4.0,,,
ton->unsw,45,intero + guadagni interi n=8,0.49820949792204544,,8.0,,"[-396, -87, -75, 512, -184, -232, 267, 492, 192, -366, -5, 9099]",2379.0,3900.0
ton->unsw,45,intero + guadagni float  n=32,0.5990261373920706,,32.0,21.0,,,
ton->unsw,45,intero + guadagni interi n=32,0.5996611306878573,,32.0,,"[132, 43, 49, 92, -262, -149, 339, -273, 98, 24, -752, -642]",3994.0,4500.0
ton->unsw,45,intero + guadagni float  n=128,0.48418529601773824,,128.0,64.0,,,
ton->unsw,45,intero + guadagni interi n=128,0.4970679451326948,,128.0,,"[-54, 134, -41, 41, -311, -80, 3, -51, 306, -19, -98, 982]",1218.0,4600.0
ton->unsw,46,float non adattato,0.22808777708628028,,,,,,
ton->unsw,46,intero non adattato,0.28909253235591237,0.9204301576028532,,,,,
ton->unsw,46,intero + guadagni float  n=8,0.4160299945404461,,8.0,2.0,,,
ton->unsw,46,intero + guadagni interi n=8,0.3980110495774105,,8.0,,"[-177, 104, 512, -8, -512, 93, 138, 233, 471, 9, 221, -2342]",4271.0,4300.0
ton->unsw,46,intero + guadagni float  n=32,0.5496583180848817,,32.0,15.0,,,
ton->unsw,46,intero + guadagni interi n=32,0.5174746721313159,,32.0,,"[438, 71, 294, -122, -402, 5, 61, 8, 460, -21, -60, -1031]",7885.0,8400.0
ton->unsw,46,intero + guadagni float  n=128,0.7637337301586118,,128.0,67.0,,,
ton->unsw,46,intero + guadagni interi n=128,0.48791147672561874,,128.0,,"[137, 3, 64, -60, -512, -73, 23, -71, 313, -16, -76, -1243]",5600.0,5600.0
ton->unsw,47,float non adattato,0.2303150215784439,,,,,,
ton->unsw,47,intero non adattato,0.2896516447160286,0.9001990895437241,,,,,
ton->unsw,47,intero + guadagni float  n=8,0.7284532711235949,,8.0,5.0,,,
ton->unsw,47,intero + guadagni interi n=8,0.7390250749981879,,8.0,,"[-27, 256, 49, -73, -251, 121, 235, -190, 290, -256, -371, -1906]",2800.0,2800.0
ton->unsw,47,intero + guadagni float  n=32,0.6940527674511321,,32.0,18.0,,,
ton->unsw,47,intero + guadagni interi n=32,0.7619301882366318,,32.0,,"[87, 99, 67, -43, -512, -222, 60, -61, 173, 12, 29, -4096]",4600.0,4600.0
ton->unsw,47,intero + guadagni float  n=128,0.5927762717615725,,128.0,74.0,,,
ton->unsw,47,intero + guadagni interi n=128,0.5979175522485702,,128.0,,"[-176, 183, -40, -33, 34, -256, 42, 47, 996, -47, 766, -3201]",0.0,3800.0
ton->unsw,48,float non adattato,0.23652956200783448,,,,,,
ton->unsw,48,intero non adattato,0.3016451607026477,0.902554788433402,,,,,
ton->unsw,48,intero + guadagni float  n=8,0.6353508368981786,,8.0,6.0,,,
ton->unsw,48,intero + guadagni interi n=8,0.7024336629525991,,8.0,,"[143, -11, -58, -136, -235, 91, -61, 35, 386, -3, 40, -3670]",0.0,4100.0
ton->unsw,48,intero + guadagni float  n=32,0.4692939596187258,,32.0,15.0,,,
ton->unsw,48,intero + guadagni interi n=32,0.46158118748975446,,32.0,,"[-135, -142, -47, 46, -512, 95, 36, -56, -47, -6, 166, 900]",1564.0,2300.0
ton->unsw,48,intero + guadagni float  n=128,0.4829911188922791,,128.0,64.0,,,
ton->unsw,48,intero + guadagni interi n=128,0.4819785380194559,,128.0,,"[-81, 37, 0, -20, -332, -56, -17, 15, -12, -49, -3, 656]",0.0,3300.0
ton->unsw,49,float non adattato,0.2171081637254516,,,,,,
ton->unsw,49,intero non adattato,0.3137562511471904,0.8703317770973288,,,,,
ton->unsw,49,intero + guadagni float  n=8,0.6753199977210681,,8.0,3.0,,,
ton->unsw,49,intero + guadagni interi n=8,0.6573969394669708,,8.0,,"[-288, 51, 104, 128, -144, -108, -184, -155, 62, -33, -181, -1393]",3564.0,3600.0
ton->unsw,49,intero + guadagni float  n=32,0.7758860689215616,,32.0,19.0,,,
ton->unsw,49,intero + guadagni interi n=32,0.7788430086307674,,32.0,,"[278, 256, 39, -56, -326, -181, 105, -104, 133, -91, 37, -805]",4261.0,4400.0
ton->unsw,49,intero + guadagni float  n=128,0.49744860531067797,,128.0,76.0,,,
ton->unsw,49,intero + guadagni interi n=128,0.49291876755379027,,128.0,,"[144, 48, 48, -32, -244, -227, 50, -66, -11, -63, 470, 217]",492.0,2700.0
ton->unsw,50,float non adattato,0.22350022664663088,,,,,,
ton->unsw,50,intero non adattato,0.2885157008131266,0.9083916436724065,,,,,
ton->unsw,50,intero + guadagni float  n=8,0.46077814633416614,,8.0,5.0,,,
ton->unsw,50,intero + guadagni interi n=8,0.39672227911597124,,8.0,,"[200, -20, 512, 38, -218, -93, 329, 151, 296, 256, -295, 6274]",0.0,6600.0
ton->unsw,50,intero + guadagni float  n=32,0.4950753143830774,,32.0,25.0,,,
ton->unsw,50,intero + guadagni interi n=32,0.49579797555900285,,32.0,,"[-223, -2, -81, 21, -1023, -117, 98, 14, 602, -77, 374, 718]",0.0,5400.0
ton->unsw,50,intero + guadagni float  n=128,0.4818369869430214,,128.0,81.0,,,
ton->unsw,50,intero + guadagni interi n=128,0.5001962963266626,,128.0,,"[162, -3, 28, -1, -762, 26, -29, -1, 246, -82, 86, -98]",2765.0,3900.0
ton->unsw,51,float non adattato,0.22158421577621182,,,,,,
ton->unsw,51,intero non adattato,0.2814583270892872,0.9246059928669282,,,,,
ton->unsw,51,intero + guadagni float  n=8,0.5057897227137469,,8.0,6.0,,,
ton->unsw,51,intero + guadagni interi n=8,0.5522785079526181,,8.0,,"[88, -163, 374, -21, -146, -301, 512, 143, 202, 40, 683, -6596]",0.0,4400.0
ton->unsw,51,intero + guadagni float  n=32,0.46662607316490806,,32.0,21.0,,,
ton->unsw,51,intero + guadagni interi n=32,0.42544889636350103,,32.0,,"[302, 47, -30, -74, -293, -56, -57, 233, 234, -10, 540, 309]",0.0,4700.0
ton->unsw,51,intero + guadagni float  n=128,0.5167532575099796,,128.0,72.0,,,
ton->unsw,51,intero + guadagni interi n=128,0.5161182648082671,,128.0,,"[156, 141, 51, -59, -330, -139, -47, 111, 231, -52, 106, 651]",3161.0,4500.0
unsw->ton,42,float non adattato,0.32782417844923406,,,,,,
unsw->ton,42,intero non adattato,0.4000088986792348,0.8526224513487772,,,,,
unsw->ton,42,intero + guadagni float  n=8,0.5620450604624176,,8.0,3.0,,,
unsw->ton,42,intero + guadagni interi n=8,0.609357866940291,,8.0,,"[-95, -95, 88, -218, -7, -120, -84, -149, -193, 75, -2047, -847]",1126.0,8100.0
unsw->ton,42,intero + guadagni float  n=32,0.5641614848994215,,32.0,5.0,,,
unsw->ton,42,intero + guadagni interi n=32,0.4162666954204736,,32.0,,"[136, -4, 117, 115, -88, -12, -256, -17, 176, -60, -251, -988]",93.0,2300.0
unsw->ton,42,intero + guadagni float  n=128,0.7852620780601274,,128.0,24.0,,,
unsw->ton,42,intero + guadagni interi n=128,0.6374746948791853,,128.0,,"[-18, -23, 10, 110, -30, -8, -103, -24, -26, 11, -1007, -554]",154.0,1800.0
unsw->ton,43,float non adattato,0.2779416812900902,,,,,,
unsw->ton,43,intero non adattato,0.4475623673180455,0.8478651270120308,,,,,
unsw->ton,43,intero + guadagni float  n=8,0.4946071720063279,,8.0,1.0,,,
unsw->ton,43,intero + guadagni interi n=8,0.4676758492694879,,8.0,,"[-29, 7, 447, -24, 108, 62, -84, -75, 175, -41, -1500, -69]",4500.0,5100.0
unsw->ton,43,intero + guadagni float  n=32,0.7101374021947342,,32.0,7.0,,,
unsw->ton,43,intero + guadagni interi n=32,0.7529093136994762,,32.0,,"[3, -125, 86, 114, -21, 17, -158, -99, -27, 256, -846, 573]",0.0,2000.0
unsw->ton,43,intero + guadagni float  n=128,0.7704140234977103,,128.0,26.0,,,
unsw->ton,43,intero + guadagni interi n=128,0.8064251553854214,,128.0,,"[-29, -60, 182, 171, 81, 71, -256, -73, -43, 205, -1112, -1336]",32.0,3700.0
unsw->ton,44,float non adattato,0.2792441185273498,,,,,,
unsw->ton,44,intero non adattato,0.39824806126314094,0.9205706893855754,,,,,
unsw->ton,44,intero + guadagni float  n=8,0.6366912970825891,,8.0,3.0,,,
unsw->ton,44,intero + guadagni interi n=8,0.5599497376467111,,8.0,,"[-10, -128, -20, -114, 84, -162, -68, -220, 256, -8, -521, 1003]",41.0,3600.0
unsw->ton,44,intero + guadagni float  n=32,0.6283813479293487,,32.0,6.0,,,
unsw->ton,44,intero + guadagni interi n=32,0.6207847873112269,,32.0,,"[-1, -48, 40, 209, -186, -192, -256, -128, 256, -512, -2699, 2048]",847.0,5300.0
unsw->ton,44,intero + guadagni float  n=128,0.7263513162761357,,128.0,27.0,,,
unsw->ton,44,intero + guadagni interi n=128,0.7103611242412242,,128.0,,"[-71, -23, 11, 91, -20, 67, -256, -29, 171, 99, 35, 181]",0.0,2800.0
unsw->ton,45,float non adattato,0.28154705116024914,,,,,,
unsw->ton,45,intero non adattato,0.4547953749619667,0.8470074818875775,,,,,
unsw->ton,45,intero + guadagni float  n=8,0.6795874005268898,,8.0,2.0,,,
unsw->ton,45,intero + guadagni interi n=8,0.7399758767228053,,8.0,,"[-193, -63, -131, 210, 227, -63, -104, -45, 182, 22, 147, -313]",0.0,5200.0
