exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,43,stat_13x13,3,0.158,0.9227197281967561,3,96,False,0.05485,3.0
ton->bot,43,martingala,3,0.158,0.9192061299072247,1,32,False,0.05485,3.0
ton->bot,43,stat_13x13_adaptive,3,0.158,0.8376415278414,3,96,False,0.05485,3.0
ton->bot,43,statico,4,0.211,0.9045589299796831,0,0,False,0.06385,3.0
ton->bot,43,ogni_batch,4,0.211,0.9126776650760257,4,128,False,0.06385,3.0
ton->bot,43,su_innesco,4,0.211,0.9045589299796831,0,0,False,0.06385,3.0
ton->bot,43,oracolo,4,0.211,0.9115204470243516,4,128,False,0.06385,3.0
ton->bot,43,stat_13x13,4,0.211,0.9645163810964874,4,128,False,0.06385,3.0
ton->bot,43,martingala,4,0.211,0.9372040632286673,2,64,False,0.06385,3.0
ton->bot,43,stat_13x13_adaptive,4,0.211,0.9240114721534229,4,128,False,0.06385,3.0
ton->bot,43,statico,5,0.263,0.886791632902859,0,0,False,0.0712,3.0
ton->bot,43,ogni_batch,5,0.263,0.91278948911215,5,160,False,0.0712,3.0
ton->bot,43,su_innesco,5,0.263,0.886791632902859,0,0,False,0.0712,3.0
ton->bot,43,oracolo,5,0.263,0.9385706159655753,5,160,False,0.0712,3.0
ton->bot,43,stat_13x13,5,0.263,0.9640970194871705,5,160,False,0.0712,3.0
ton->bot,43,martingala,5,0.263,0.9444712613565804,3,96,False,0.0712,3.0
ton->bot,43,stat_13x13_adaptive,5,0.263,0.9222303976757957,5,160,False,0.0712,3.0
ton->bot,43,statico,6,0.316,0.8699919647962999,0,0,False,0.07495,3.0
ton->bot,43,ogni_batch,6,0.316,0.8729988986253265,6,192,False,0.07495,3.0
ton->bot,43,su_innesco,6,0.316,0.8699919647962999,0,0,False,0.07495,3.0
ton->bot,43,oracolo,6,0.316,0.9560182959948262,6,192,False,0.07495,3.0
ton->bot,43,stat_13x13,6,0.316,0.9567880757776324,6,192,False,0.07495,3.0
ton->bot,43,martingala,6,0.316,0.8670518757008574,4,128,False,0.07495,3.0
ton->bot,43,stat_13x13_adaptive,6,0.316,0.9584670712253465,6,192,False,0.07495,3.0
ton->bot,43,statico,7,0.368,0.8567064753005217,0,0,False,0.0873,3.0
ton->bot,43,ogni_batch,7,0.368,0.9063174003318425,7,224,False,0.0873,3.0
ton->bot,43,su_innesco,7,0.368,0.8567064753005217,0,0,False,0.0873,3.0
ton->bot,43,oracolo,7,0.368,0.9521948603786086,7,224,False,0.0873,3.0
ton->bot,43,stat_13x13,7,0.368,0.9180377836796201,7,224,False,0.0873,3.0
ton->bot,43,martingala,7,0.368,0.9486910393447298,5,160,False,0.0873,3.0
ton->bot,43,stat_13x13_adaptive,7,0.368,0.8920756877738674,7,224,False,0.0873,3.0
ton->bot,43,statico,8,0.421,0.8393729537746899,0,0,False,0.0956,3.0
ton->bot,43,ogni_batch,8,0.421,0.9473033988048165,8,256,False,0.0956,3.0
ton->bot,43,su_innesco,8,0.421,0.8393729537746899,0,0,False,0.0956,3.0
ton->bot,43,oracolo,8,0.421,0.9463920997934283,8,256,False,0.0956,3.0
ton->bot,43,stat_13x13,8,0.421,0.9614033747915546,8,256,False,0.0956,3.0
ton->bot,43,martingala,8,0.421,0.9625092294645627,6,192,False,0.0956,3.0
ton->bot,43,stat_13x13_adaptive,8,0.421,0.9685551252213614,8,256,False,0.0956,3.0
ton->bot,43,statico,9,0.474,0.829592429874001,0,0,False,0.10335,3.0
ton->bot,43,ogni_batch,9,0.474,0.9528508979485805,9,288,False,0.10335,3.0
ton->bot,43,su_innesco,9,0.474,0.829592429874001,0,0,False,0.10335,3.0
ton->bot,43,oracolo,9,0.474,0.9407900437746408,9,288,False,0.10335,3.0
ton->bot,43,stat_13x13,9,0.474,0.969080333867405,9,288,False,0.10335,3.0
ton->bot,43,martingala,9,0.474,0.9708545321998125,7,224,False,0.10335,3.0
ton->bot,43,stat_13x13_adaptive,9,0.474,0.966203166932949,9,288,False,0.10335,3.0
ton->bot,43,statico,10,0.526,0.8156156787385478,0,0,False,0.1084,3.0
ton->bot,43,ogni_batch,10,0.526,0.9721892954767175,10,320,False,0.1084,3.0
ton->bot,43,su_innesco,10,0.526,0.8156156787385478,0,0,False,0.1084,3.0
ton->bot,43,oracolo,10,0.526,0.9488302369828887,10,320,False,0.1084,3.0
ton->bot,43,stat_13x13,10,0.526,0.9088037712723014,10,320,False,0.1084,3.0
ton->bot,43,martingala,10,0.526,0.9720216872698373,8,256,False,0.1084,3.0
ton->bot,43,stat_13x13_adaptive,10,0.526,0.9129922235127017,10,320,False,0.1084,3.0
ton->bot,43,statico,11,0.579,0.8016961451203382,0,0,False,0.11915,3.0
ton->bot,43,ogni_batch,11,0.579,0.9622757263792572,11,352,False,0.11915,3.0
ton->bot,43,su_innesco,11,0.579,0.8016961451203382,0,0,False,0.11915,3.0
ton->bot,43,oracolo,11,0.579,0.9572237195630645,11,352,False,0.11915,3.0
ton->bot,43,stat_13x13,11,0.579,0.9023202387142375,11,352,False,0.11915,3.0
ton->bot,43,martingala,11,0.579,0.9718758037630977,9,288,False,0.11915,3.0
ton->bot,43,stat_13x13_adaptive,11,0.579,0.9687476258358299,11,352,False,0.11915,3.0
ton->bot,43,statico,12,0.632,0.7879960861056752,0,0,False,0.1247,3.0
ton->bot,43,ogni_batch,12,0.632,0.9577534246575342,12,384,False,0.1247,3.0
ton->bot,43,su_innesco,12,0.632,0.7879960861056752,0,0,False,0.1247,3.0
ton->bot,43,oracolo,12,0.632,0.9605636007827789,12,384,False,0.1247,3.0
ton->bot,43,stat_13x13,12,0.632,0.8948532289628179,12,384,False,0.1247,3.0
ton->bot,43,martingala,12,0.632,0.9737729941291585,10,320,False,0.1247,3.0
ton->bot,43,stat_13x13_adaptive,12,0.632,0.7181722113502935,12,384,False,0.1247,3.0
ton->bot,43,statico,13,0.684,0.7701911118524671,0,0,True,0.13655,3.0
ton->bot,43,ogni_batch,13,0.684,0.964545534921345,13,416,True,0.13655,3.0
ton->bot,43,su_innesco,13,0.684,0.7701911118524671,0,0,True,0.13655,3.0
ton->bot,43,oracolo,13,0.684,0.9527418895968506,13,416,True,0.13655,3.0
ton->bot,43,stat_13x13,13,0.684,0.8919544125976404,13,416,True,0.13655,3.0
ton->bot,43,martingala,13,0.684,0.9707646688893794,11,352,True,0.13655,3.0
ton->bot,43,stat_13x13_adaptive,13,0.684,0.9476265866858145,13,416,True,0.13655,3.0
ton->bot,43,statico,14,0.737,0.761200438138362,0,0,True,0.1406,3.0
ton->bot,43,ogni_batch,14,0.737,0.966010374295917,14,448,True,0.1406,3.0
ton->bot,43,su_innesco,14,0.737,0.6649063050771267,1,32,True,0.1406,3.0
ton->bot,43,oracolo,14,0.737,0.9549343917563788,14,448,True,0.1406,3.0
ton->bot,43,stat_13x13,14,0.737,0.8949615668215869,14,448,True,0.1406,3.0
ton->bot,43,martingala,14,0.737,0.9759028384245447,12,384,True,0.1406,3.0
ton->bot,43,stat_13x13_adaptive,14,0.737,0.9562057837833383,14,448,True,0.1406,3.0
ton->bot,43,statico,15,0.789,0.7501104230854141,0,0,True,0.14895,3.0
ton->bot,43,ogni_batch,15,0.789,0.9688797538380112,15,480,True,0.14895,3.0
ton->bot,43,su_innesco,15,0.789,0.8549352930117182,2,64,True,0.14895,3.0
ton->bot,43,oracolo,15,0.789,0.9549099782676627,15,480,True,0.14895,3.0
ton->bot,43,stat_13x13,15,0.789,0.9184728303360636,15,480,True,0.14895,3.0
ton->bot,43,martingala,15,0.789,0.9512220485943201,13,416,True,0.14895,3.0
ton->bot,43,stat_13x13_adaptive,15,0.789,0.9236879146370076,15,480,True,0.14895,3.0
ton->bot,43,statico,16,0.842,0.7390914868487863,0,0,True,0.15495,3.0
ton->bot,43,ogni_batch,16,0.842,0.958694617185408,16,512,True,0.15495,3.0
ton->bot,43,su_innesco,16,0.842,0.9019049066087723,3,96,True,0.15495,3.0
ton->bot,43,oracolo,16,0.842,0.9563176157265694,16,512,True,0.15495,3.0
ton->bot,43,stat_13x13,16,0.842,0.8991383352351197,16,512,True,0.15495,3.0
ton->bot,43,martingala,16,0.842,0.9186365525187465,14,448,True,0.15495,3.0
ton->bot,43,stat_13x13_adaptive,16,0.842,0.9558167996435678,16,512,True,0.15495,3.0
